category_categorie_eng,category_categorie_fra,section-lvl1_niv1_eng,section-lvl1_niv1_fra,section-lvl2_niv2_eng,section-lvl2_niv2_fra,2008_2009,2009_2010,2010_2011,2011_2012,2012_2013,2013_2014,2014_2015,2015_2016,2016_2017,2017_2018,2018_2019,2019_2020,2020_2021,2021_2022,2022_2023,2023_2024,2024_2025
Taxes receivable,Impôts à recevoir,,,Less than one year,Moins d'un an,63073565580.0,59620638416.0,59451680154.0,66161826462.0,70196417812.0,68085532437.0,71629514792.0,77310061861.0,80193932239.0,90654668405.0,92967829675.0,82880807553.0,101580603899.0,122830713876.0,129068841460.0,143129970887.0,146899614097.0
Taxes receivable,Impôts à recevoir,,,1 to 2 years,1 à 2 ans,3189151980.0,3210161595.0,5726427231.0,5744207719.0,6434206424.0,7156690840.0,7110899188.0,7122526674.0,8215769761.0,7678941399.0,7813139743.0,10045430309.0,8131796625.0,9437675892.0,12911696296.0,15629559614.0,19229916396.0
Taxes receivable,Impôts à recevoir,,,2 to 3 years,2 à 3 ans,2187101335.0,2010232834.0,4073508061.0,4515312487.0,4620057093.0,4888330498.0,5642563058.0,5572184339.0,5731393837.0,6797321768.0,5855837635.0,6110969526.0,8169380605.0,7100138760.0,7161997527.0,11102677676.0,16432880577.0
Taxes receivable,Impôts à recevoir,,,3 to 4 years,3 à 4 ans,1646185499.0,2199184538.0,3261116004.0,3695849593.0,4145573641.0,4152897018.0,4529275948.0,5072838141.0,4938363937.0,5079581151.0,5899196411.0,5326623950.0,6069513043.0,7484436613.0,6594995350.0,6472273265.0,11386653808.0
Taxes receivable,Impôts à recevoir,,,4 to 5 years,4 à 5 ans,1973721872.0,1780135854.0,3208550703.0,3041584611.0,3380086632.0,4063866877.0,3870348255.0,4072259084.0,4789695152.0,4937795246.0,4743307764.0,5755789452.0,5455941527.0,5794184810.0,7265258985.0,6148561966.0,7129877220.0
Taxes receivable,Impôts à recevoir,,,Over 5 years,Plus de 5 ans,9327532762.0,10232289448.0,13891579829.0,14847759720.0,15693564446.0,16831705917.0,18854482022.0,21027591043.0,20897528507.0,22231654957.0,24840956395.0,26636269537.0,31520382774.0,36448285898.0,41541485024.0,47803803798.0,43728628424.0
Other accounts receivable,Autres créances,,,0-30 days,0-30 jours,1195978283.0,1317868093.0,1496704238.0,1783119425.0,1775858832.0,1928981621.0,1459142044.0,1987314947.0,,,,,,,,,
Other accounts receivable,Autres créances,Other receivables,Autres créances,Not past due,Pas en souffrance,,,,,,,,,2801023064.0,5350476336.0,3113549704.0,3858866653.0,15203588553.0,9026378733.0,,,
Other accounts receivable,Autres créances,Other receivables,Autres créances,1 to 30 days,1 à 30 jours,,,,,,,,,241522210.0,281659594.0,200663839.0,160524709.0,123977371.0,726216896.0,,,
Other accounts receivable,Autres créances,Other receivables,Autres créances,31 to 60 days,31 à 60 jours,311613593.0,322343023.0,382160333.0,222884637.0,181997720.0,155159259.0,180169914.0,110273828.0,71681132.0,89668743.0,73894847.0,83248738.0,86422119.0,41342258.0,,,
Other accounts receivable,Autres créances,Other receivables,Autres créances,61 to 90 days,61 à 90 jours,190005464.0,160019990.0,119416067.0,95534313.0,178149794.0,185524406.0,161232978.0,68516086.0,55101933.0,50243376.0,62024009.0,62416050.0,91306827.0,34344764.0,,,
Other accounts receivable,Autres créances,Other receivables,Autres créances,91 to 365 days,91 à 365 jours,291177193.0,378622806.0,386565564.0,388963453.0,430633933.0,450141860.0,495045788.0,618226186.0,310071228.0,324730892.0,353760672.0,305043929.0,305825358.0,403518456.0,,,
Other accounts receivable,Autres créances,Other receivables,Autres créances,Over 365 days,Plus de 365 jours,2057267123.0,2013618614.0,1786406112.0,1851795740.0,1974075995.0,2129263341.0,2481981086.0,2880942834.0,698907384.0,741266768.0,882011417.0,956955721.0,955868492.0,911085967.0,,,
Other accounts receivable,Autres créances,Cash collateral pledged to counterparties,Liquidités donnée en nantissement à des contreparties,,,,,,,,,,6556958695.0,6873298525.0,8716110562.0,7162663746.0,9974647492.0,1365914163.0,505806620.0,,,
Other accounts receivable,Autres créances,Accounts receivable of consolidated Crown corporations and other entities,Créances des sociétés d'État et autres entités consolidées,,,533703000.0,843513000.0,1288896000.0,1849155000.0,1867986000.0,1671742000.0,640518000.0,639040000.0,,,,,,,,,
Other accounts receivable,Autres créances,Consolidation adjustment,Redressement de consolidation,,,,,,,,,,,-10272000.0,-24804000.0,-3832000.0,-27216000.0,-60567000.0,-32390000.0,,,
