Category_Categorie_eng,Category_Categorie_fra,Section-lvl1_niv1_eng,Section-lvl1_niv1_fra,Section-lvl2_niv2_eng,Section-lvl2_niv2_fra,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025
"Taxes receivable","Impôts à recevoir",,,"Less than one year","Moins d'un an",63073565580,59620638416,59451680154,66161826462,70196417812,68085532437,71629514792,77310061861,80193932239,90654668405,92967829675,82880807553,101580603899,122830713876,129068841460,143129970887,146899614097
"Taxes receivable","Impôts à recevoir",,,"1 to 2 years","1 à 2 ans",3189151980,3210161595,5726427231,5744207719,6434206424,7156690840,7110899188,7122526674,8215769761,7678941399,7813139743,10045430309,8131796625,9437675892,12911696296,15629559614,19229916396
"Taxes receivable","Impôts à recevoir",,,"2 to 3 years","2 à 3 ans",2187101335,2010232834,4073508061,4515312487,4620057093,4888330498,5642563058,5572184339,5731393837,6797321768,5855837635,6110969526,8169380605,7100138760,7161997527,11102677676,16432880577
"Taxes receivable","Impôts à recevoir",,,"3 to 4 years","3 à 4 ans",1646185499,2199184538,3261116004,3695849593,4145573641,4152897018,4529275948,5072838141,4938363937,5079581151,5899196411,5326623950,6069513043,7484436613,6594995350,6472273265,11386653808
"Taxes receivable","Impôts à recevoir",,,"4 to 5 years","4 à 5 ans",1973721872,1780135854,3208550703,3041584611,3380086632,4063866877,3870348255,4072259084,4789695152,4937795246,4743307764,5755789452,5455941527,5794184810,7265258985,6148561966,7129877220
"Taxes receivable","Impôts à recevoir",,,"Over 5 years","Plus de 5 ans",9327532762,10232289448,13891579829,14847759720,15693564446,16831705917,18854482022,21027591043,20897528507,22231654957,24840956395,26636269537,31520382774,36448285898,41541485024,47803803798,43728628424
"Other accounts receivable","Autres créances",,,"0-30 days","0-30 jours",1195978283,1317868093,1496704238,1783119425,1775858832,1928981621,1459142044,1987314947,,,,,,,,,
"Other accounts receivable","Autres créances","Other receivables","Autres créances","Not past due","Pas en souffrance",,,,,,,,,2801023064,5350476336,3113549704,3858866653,15203588553,9026378733,,,
"Other accounts receivable","Autres créances","Other receivables","Autres créances","1 to 30 days","1 à 30 jours",,,,,,,,,241522210,281659594,200663839,160524709,123977371,726216896,,,
"Other accounts receivable","Autres créances","Other receivables","Autres créances","31 to 60 days","31 à 60 jours",311613593,322343023,382160333,222884637,181997720,155159259,180169914,110273828,71681132,89668743,73894847,83248738,86422119,41342258,,,
"Other accounts receivable","Autres créances","Other receivables","Autres créances","61 to 90 days","61 à 90 jours",190005464,160019990,119416067,95534313,178149794,185524406,161232978,68516086,55101933,50243376,62024009,62416050,91306827,34344764,,,
"Other accounts receivable","Autres créances","Other receivables","Autres créances","91 to 365 days","91 à 365 jours",291177193,378622806,386565564,388963453,430633933,450141860,495045788,618226186,310071228,324730892,353760672,305043929,305825358,403518456,,,
"Other accounts receivable","Autres créances","Other receivables","Autres créances","Over 365 days","Plus de 365 jours",2057267123,2013618614,1786406112,1851795740,1974075995,2129263341,2481981086,2880942834,698907384,741266768,882011417,956955721,955868492,911085967,,,
"Other accounts receivable","Autres créances","Cash collateral pledged to counterparties","Liquidités donnée en nantissement à des contreparties",,,,,,,,,,6556958695,6873298525,8716110562,7162663746,9974647492,1365914163,505806620,,,
"Other accounts receivable","Autres créances","Accounts receivable of consolidated Crown corporations and other entities","Créances des sociétés d'État et autres entités consolidées",,,533703000,843513000,1288896000,1849155000,1867986000,1671742000,640518000,639040000,,,,,,,,,
"Other accounts receivable","Autres créances","Consolidation adjustment","Redressement de consolidation",,,,,,,,,,,-10272000,-24804000,-3832000,-27216000,-60567000,-32390000,,,
